epsilon = -0.499975


0 0 0
0.125 0.110312 0.110312
0.25 0.1947 0.1947
0.375 0.257733 0.257733
0.5 0.303264 0.303265
0.625 0.334537 0.334538
0.75 0.354273 0.354275
0.875 0.364751 0.364754
1 0.367875 0.367879
1.125 0.365228 0.365234
1.25 0.358124 0.358131
1.375 0.347645 0.347654
1.5 0.334684 0.334695
1.625 0.319968 0.319981
1.75 0.304088 0.304104
1.875 0.287522 0.287541
2 0.270649 0.270671
2.125 0.253771 0.253795
2.25 0.23712 0.237148
2.375 0.220878 0.220909
2.5 0.205177 0.205212
2.625 0.190115 0.190154
2.75 0.175758 0.175802
2.875 0.162148 0.162196
3 0.149308 0.149361
3.125 0.137244 0.137303
3.25 0.125952 0.126016
3.375 0.115415 0.115486
3.5 0.105613 0.105691
3.625 0.0965176 0.096603
3.75 0.0880978 0.0881915
3.875 0.0803203 0.0804231
4 0.07315 0.0732626
4.125 0.0665511 0.0666744
4.25 0.0604876 0.060623
4.375 0.0549248 0.0550731
4.5 0.0498279 0.0499905
4.625 0.0451636 0.0453419
4.75 0.0408998 0.0410956
4.875 0.0370061 0.0372211
5 0.0334536 0.0336897
5.125 0.0302149 0.0304744
5.25 0.0272641 0.0275495
5.375 0.024577 0.0248912
5.5 0.0221313 0.0224772
5.625 0.0199058 0.0202869
5.75 0.0178808 0.018301
5.875 0.016038 0.0165017
6 0.0143607 0.0148725
6.125 0.0128331 0.0133984
6.25 0.0114406 0.0120653
6.375 0.0101697 0.0108606
6.5 0.00900792 0.00977235
6.625 0.0079437 0.00878992
6.75 0.00696617 0.00790344
6.875 0.00606527 0.00710392
7 0.00523156 0.00638317
7.125 0.00445637 0.00573372
7.25 0.00373129 0.00514876
7.375 0.00304845 0.00462211
7.5 0.00240033 0.00414813
7.625 0.00177971 0.00372173
7.75 0.00117968 0.00333825
7.875 0.000593323 0.00299352
8 1.38822e-05 0.0026837
